func_va,offset,value,comment
0x1002A93C,4,0x100A7514,BrScreenSizeApply _g_s17$S656+84
0x1002A93C,9,0x106E7714,BrScreenSizeApply _g_s17$S656+76
0x1002A93C,15,0x100A7518,BrScreenSizeApply _g_s17$S656+88
0x1002A93C,21,0x106E9A2C,BrScreenSizeApply _g_s17$S656+80
0x10054360,7,0x100AC5F8,BrCharMapLookup _g_BrCharMap+0
0x10054360,20,0x100ADE78,BrCharMapLookup _g_BrCharMap+904
0x10054360,32,0x100AC5FC,BrCharMapLookup _g_BrCharMap+4
0x10030FD0,4,0x10AC0808,BrKeyTableFind g_brKeyCount: original loop bound `mov eax|[10ac0808]; dec` at 0x10030fdb
0x10030FD0,13,0x10AC080C,BrKeyTableFind g_brKeyBias: original adds [10ac080c] to the key at 0x10030fd4
0x10029420,0x26,0x105E1804,BrGbiTexScanSetImg g_brTexScanTimgSiz: orig 0x29445 stores (w0>>19)&3 to [105e1804]
0x10029420,0x2F,0x105E180C,BrGbiTexScanSetImg g_brTexScanTimgAddr: orig 0x2944e stores w1 ([eax+4]) to [105e180c]
0x10029420,0x35,0x106B7A98,BrGbiTexScanSetImg g_brTexScanSrcSeen: orig 0x29454 zeroes [106b7a98]
0x10029420,0x3D,0x10697A64,BrGbiTexScanSetImg g_brTexScanRunStart: orig 0x2945c stores the cmd ptr (eax) to [10697a64]
0x10029420,0x43,0x106B7A9C,BrGbiTexScanSetImg g_brTexScanRunEnd: orig 0x29461 zeroes [106b7a9c]
0x100316D0,0x20A,0xFFFE7762,BrTrackFixupRec54 BrDlRegister: orig 0x318d9 `call 0x10019040`
0x100316D0,0x213,0xFFFFC224,BrTrackFixupRec54 BrSub1003445A is STALE-named: orig 0x318e2 `call 0x1002db0b`
0x100316D0,0x229,0x118ED1DC,BrTrackFixupRec54 g_pfn18AA0C4: orig 0x318f7 `call [0x118ed1dc]`
0x10014960,0x20,0x100BCBF0,BrSub_100173F0 g_br0BD3E8 (stale-named -0x7F8): orig 0x1497f reads [100bcbf0]
0x10014960,0xF2,0x100BCC00,BrSub_100173F0 g_br0BD3F8 (stale-named -0x7F8): orig 0x14a51 reads [100bcc00]
0x100096A0,0x64,0x100ABAA0,BrDPlaySysMsgLog S710+4c: orig 0x9703 reads [100abaa0] (fused struct - config obj base 100aba54)
0x100096A0,0xA3,0x100A5C4C,BrDPlaySysMsgLog g_szUnknown: orig 0x9741 mov edi 100a5c4c
0x100096A0,0xAE,0x100A5C38,BrDPlaySysMsgLog g_szLeft: orig 0x974c push 100a5c38
0x100096A0,0xD9,0x100A5C38,BrDPlaySysMsgLog g_szLeft: orig 0x9777 push 100a5c38
0x100096A0,0xED,0x10AC5890,BrDPlaySysMsgLog S710+50: orig 0x978b mov eax 10ac5890 (fused struct - msg ring)
0x100096A0,0xFA,0x10AC58F0,BrDPlaySysMsgLog S710+b0: orig 0x9798 cmp eax 10ac58f0 (ring end)
